ELEAGUE Cup 2018: Rocket League,Nov 30 - Dec 2 2018,150000,8 teams,Atlanta, United States,
RLCS Season 6 - Finals,Nov 9 - 11 2018,500000,10 teams,Las Vegas, United States,
RLCS Season 6 - Europe,Sep 9 - Oct 14 2018,214250,8 teams,Online, Europe,
RLCS Season 6 - North America,Sep 8 - Oct 13 2018,214250,8 teams,Online, North America,
RLCS Season 5 - Finals,Jun 8 - 10 2018,250000,10 teams,London, England,
RLCS Season 5 - Europe,Mar 18 - Apr 22 2018,109000,8 teams,Online, Europe,
RLCS Season 5 - North America,Mar 17 - Apr 21 2018,109000,8 teams,Online, North America,
ELEAGUE Cup 2017: Rocket League,Dec 1 - 3 2017,150000,8 teams,Atlanta, United States,
RLCS Season 4 - Finals,Nov 10 - 12 2017,150000,10 teams,Washington D.C., Us,
RLCS Season 4 - Europe,Sep 10 - Oct 15 2017,83000,8 teams,Online, Europe,
RLCS Season 4 - North America,Sep 9 - Oct 14 2017,83000,8 teams,Online, North America,
RLCS Season 3 - Finals,Jun 2 - 4 2017,150000,10 teams,Los Angeles, United States,
RLCS Season 3 - Europe,Mar 19 - May 7 2017,53000,8 teams,Online, Europe,
RLCS Season 3 - North America,Mar 18 - May 6 2017,53000,8 teams,Online, North America,
RLCS Season 2 - Finals,Dec 3 - 4 2016,125000,8 teams,Amsterdam, Netherlands,
RLCS Season 2 - Europe,Sep 25 - Nov 13 2016,53000,8 teams,Online, Europe,
RLCS Season 2 - North America,Sep 24 - Nov 12 2016,53000,8 teams,Online, North America,
RLCS Season 1 - Finals,Aug 6 - 7 2016,55000,8 teams,Los Angeles, United States,
Gfinity Australia Elite Series - Season 2,Nov 4 - Dec 16 2018,30337.77,6 teams,Sydney, Australia,
Gfinity United Kingdom Elite Series - Season 4,Oct 27 - Dec 9 2018,65926.95,10 teams,London, England,
RLCS Season 6 - Europe: Promotion Playoffs,Nov 18 2018,0,4 teams,Online, Europe,
RLCS Season 6 - North America: Promotion Playoffs,Nov 17 2018,0,4 teams,Online, North America,
Throwdown Esports: RLOC Season 6 - Finals,Oct 14 2018,34500,4 teams,Online, Oceania,
RLCS Season 6 - Europe: RLRS,Sep 14 - Oct 12 2018,50000,8 teams,Online, Europe,
RLCS Season 6 - North America: RLRS,Sep 14 - Oct 12 2018,50000,8 teams,Online, North America,
Throwdown Esports: RLOC Season 6,Sep 9 - Oct 7 2018,15500,8 teams,Online, Oceania,
Rocket League Universal Open: Season 2,Aug 24 - 26 2018,86500,8 teams,Stamford, CT, United States,
Rocket League Universal Open: Season 2 - US West Regionals,Aug 11 2018,3500,4 teams,San Francisco, CA, United States,
Rocket League Universal Open: Season 2 - US Central Regionals,Aug 5 2018,3500,4 teams,Chicago, IL, United States,
Rocket League Universal Open: Season 2 - US Northeast Regionals,Jul 29 2018,3500,4 teams,New York, United States,
Rocket League Universal Open: Season 2 - US East Regionals,Jul 28 2018,3500,4 teams,Washington, DC, United States,
Gfinity Australia Elite Series - Season 1,Jun 3 - Jul 15 2018,32274,6 teams,Sydney, Australia,
Northern Arena: Rocket League Invitational 2,Jul 14 - 15 2018,50000,8 teams,Toronto, Canada,
