Rift Rivals 2018: LLN vs CLS vs CBLOL,1,12750,Keyd Stars
Rift Rivals 2018: LLN vs CLS vs CBLOL,2,12750,KaBuM! e-Sports
Rift Rivals 2018: LLN vs CLS vs CBLOL,3,8500,Kaos Latin Gamers
Rift Rivals 2018: LLN vs CLS vs CBLOL,4,8500,Rebirth eSports
Rift Rivals 2018: LLN vs CLS vs CBLOL,5,-,Rainbow7
Rift Rivals 2018: LLN vs CLS vs CBLOL,6,-,Infinity eSports
Rift Rivals 2018: LCL vs TCL vs VCS,1,13000,SuperMassive eSports
Rift Rivals 2018: LCL vs TCL vs VCS,2,13000,Royal Bandits
Rift Rivals 2018: LCL vs TCL vs VCS,3,13000,YouthCrew Esports
Rift Rivals 2018: LCL vs TCL vs VCS,4,7000,Gambit Esports
Rift Rivals 2018: LCL vs TCL vs VCS,5,7000,RoX
Rift Rivals 2018: LCL vs TCL vs VCS,6,7000,Team Just Alpha
Rift Rivals 2018: LCL vs TCL vs VCS,7,4000,GIGABYTE Marines
Rift Rivals 2018: LCL vs TCL vs VCS,8,4000,EVOS Esports
Rift Rivals 2018: LCL vs TCL vs VCS,9,4000,Vikings Gaming
LMS Summer 2018,1,48709,Flash Wolves
LMS Summer 2018,2,19483,MAD Team
LMS Summer 2018,3,12989,J Team
LMS Summer 2018,4,6494,Hong Kong Attitude
Rift Rivals 2018: LCK vs LPL vs LMS,1,20000,Royal Never Give Up
Rift Rivals 2018: LCK vs LPL vs LMS,2,20000,EDward Gaming
Rift Rivals 2018: LCK vs LPL vs LMS,3,20000,Rogue Warriors
Rift Rivals 2018: LCK vs LPL vs LMS,4,20000,Invictus Gaming
Rift Rivals 2018: LCK vs LPL vs LMS,5,10000,KING-ZONE DragonX
Rift Rivals 2018: LCK vs LPL vs LMS,6,10000,Afreeca Freecs
Rift Rivals 2018: LCK vs LPL vs LMS,7,10000,KT Rolster
Rift Rivals 2018: LCK vs LPL vs LMS,8,10000,SK Telecom T1
Rift Rivals 2018: LCK vs LPL vs LMS,9,6000,Flash Wolves
Rift Rivals 2018: LCK vs LPL vs LMS,10,6000,G-Rex
Rift Rivals 2018: LCK vs LPL vs LMS,11,6000,MAD Team
Rift Rivals 2018: LCK vs LPL vs LMS,12,6000,Machi Esports
Rift Rivals 2018: NA vs EU,1,20000,Fnatic
Rift Rivals 2018: NA vs EU,2,20000,G2 Esports
Rift Rivals 2018: NA vs EU,3,20000,Splyce
Rift Rivals 2018: NA vs EU,4,5000,Team Liquid
Rift Rivals 2018: NA vs EU,5,5000,100 Thieves
Rift Rivals 2018: NA vs EU,6,5000,Echo Fox
Rift Rivals 2018: NA vs EU,7,Hjarnan,G2 Esports
Rift Rivals 2018: NA vs EU,8,Wadid,G2 Esports
Rift Rivals 2018: NA vs EU,9,Doublelift,Team Liquid
Rift Rivals 2018: NA vs EU,10,Olleh,Team Liquid
Rift Rivals 2018: NA vs EU,11,Bwipo,Fnatic
Rift Rivals 2018: NA vs EU,12,Hylissang,Fnatic
Rift Rivals 2018: NA vs EU,13,Cody Sun,100 Thieves
Rift Rivals 2018: NA vs EU,14,aphromoo,100 Thieves
LPL Summer 2018,1,218791.90,Royal Never Give Up
LPL Summer 2018,2,116689.02,Invictus Gaming
LPL Summer 2018,3,72930.63,JD Gaming
LPL Summer 2018,4,43758.38,Rogue Warriors
EU LCS Summer 2018,1,92517.60,Fnatic
EU LCS Summer 2018,2,57823.50,FC Schalke 04 Esports
EU LCS Summer 2018,3,34694.10,Team Vitality
EU LCS Summer 2018,4,23129.40,Misfits Gaming
NA LCS Summer 2018,1,100000,Team Liquid
NA LCS Summer 2018,2,50000,Cloud9
NA LCS Summer 2018,3,30000,Team SoloMid
NA LCS Summer 2018,4,20000,100 Thieves
2018 World Championship,1,834375,Invictus Gaming
2018 World Championship,2,300375,Fnatic
2018 World Championship,3,155750,G2 Esports
2018 World Championship,4,155750,Cloud9
LCK Summer 2018,1,88686.30,KT Rolster
