tournament, rank, earning, team
DreamHack Masters Stockholm 2018,1,$100000, North
DreamHack Masters Stockholm 2018,2,$50000, Astralis
DreamHack Masters Stockholm 2018,3rd,$22000, Ninjas in Pyjamas
DreamHack Masters Stockholm 2018,4th,$22000,mousesports
EPICENTER 2018,1,$150000, FaZe Clan
EPICENTER 2018,2,$75000, Natus Vincere
EPICENTER 2018,3rd,$20000, AVANGAR
EPICENTER 2018,4th,$20000,Team Liquid
EPICENTER 2018,1,$8000,  Team Liquid
EPICENTER 2018,2,$3000,  AVANGAR
EPICENTER 2018,3rd,$1000,  5Power Gaming
EPICENTER 2018,4th,$1000, FaZe Clan
ESL Pro League Season 8 - Europe,1,-, Astralis
ESL Pro League Season 8 - Europe,2,-, Natus Vincere
ESL Pro League Season 8 - Europe,3rd,-, BIG
ESL Pro League Season 8 - Europe,4th,-, North
Esports Championship Series Season 6 - Finals,1,$250000, Astralis
Esports Championship Series Season 6 - Finals,2,$120000, MIBR
Esports Championship Series Season 6 - Finals,3rd,$65000, Ninjas in Pyjamas
Esports Championship Series Season 6 - Finals,4th,$65000,North
ESL One: New York 2018,1,$125000, mousesports
ESL One: New York 2018,2,$50000, Team Liquid
ESL One: New York 2018,3rd,$25000, NRG Esports
ESL One: New York 2018,4th,$25000,Gambit Esports
StarSeries & i-League CS:GO Season 6,1,$125000, ENCE eSports
StarSeries & i-League CS:GO Season 6,2,$50000, Vega Squadron
StarSeries & i-League CS:GO Season 6,3rd,$25000, OpTic Gaming
StarSeries & i-League CS:GO Season 6,4th,$25000,NRG Esports
FACEIT Major: London 2018,1,$500000, Astralis
FACEIT Major: London 2018,2,$150000, Natus Vincere
FACEIT Major: London 2018,3rd,$70000, MIBR
FACEIT Major: London 2018,4th,$70000,Team Liquid
Intel Extreme Masters Season XIII - Chicago,1,$100000, Astralis
Intel Extreme Masters Season XIII - Chicago,2,$42000, Team Liquid
Intel Extreme Masters Season XIII - Chicago,3rd,$20000, Fnatic
Intel Extreme Masters Season XIII - Chicago,4th,$20000,FaZe Clan
ELEAGUE CS:GO Premier 2018,1,$500000, Astralis
ELEAGUE CS:GO Premier 2018,2,$200000, Team Liquid
ELEAGUE CS:GO Premier 2018,3rd,$80000, mousesports
ELEAGUE CS:GO Premier 2018,4th,$80000,Natus Vincere
ESL One: Belo Horizonte 2018,1,$100000, FaZe Clan
ESL One: Belo Horizonte 2018,2,$40000, mousesports
ESL One: Belo Horizonte 2018,3rd,$17000, Team Liquid
ESL One: Belo Horizonte 2018,4th,$17000,SK Gaming
ESL One: Cologne 2018,1,$125000, Natus Vincere
ESL One: Cologne 2018,2,$50000, BIG
ESL One: Cologne 2018,3rd,$22000, Astralis
ESL One: Cologne 2018,4th,$22000,FaZe Clan
Esports Championship Series Season 5 - Finals,1,$250000, Astralis
Esports Championship Series Season 5 - Finals,2,$120000, Team Liquid
Esports Championship Series Season 5 - Finals,3rd,$65000, NRG Esports
Esports Championship Series Season 5 - Finals,4th,$65000,FaZe Clan
ESL Pro League Season 7 - Europe,1,-, mousesports
ESL Pro League Season 7 - Europe,2,-, Ninjas in Pyjamas
ESL Pro League Season 7 - Europe,3rd,-, Natus Vincere
ESL Pro League Season 7 - Europe,4th,-, FaZe Clan
StarSeries & i-League CS:GO Season 5,1,$125000, Natus Vincere
StarSeries & i-League CS:GO Season 5,2,$50000, NRG Esports
StarSeries & i-League CS:GO Season 5,3rd,$25000, mousesports
StarSeries & i-League CS:GO Season 5,4th,$25000,North
ESL Pro League Season 7 - North America,1,-, Team Liquid
ESL Pro League Season 7 - North America,2,-, NRG Esports
ESL Pro League Season 7 - North America,3rd,-, OpTic Gaming
ESL Pro League Season 7 - North America,4th,-, Cloud9
Intel Extreme Masters Season XIII - Sydney,1,$100000, FaZe Clan
Intel Extreme Masters Season XIII - Sydney,2,$42000, Astralis
Intel Extreme Masters Season XIII - Sydney,3rd,$20000, TYLOO
Intel Extreme Masters Season XIII - Sydney,4th,$20000,mousesports
DreamHack Masters Marseille 2018,1,$100000, Astralis
DreamHack Masters Marseille 2018,2,$50000, Natus Vincere
DreamHack Masters Marseille 2018,3rd,$22000, Gambit Esports
DreamHack Masters Marseille 2018,4th,$22000,Fnatic
ESL Pro League Season 7 - Finals,1,$250000, Astralis
ESL Pro League Season 7 - Finals,2,$110000, Team Liquid
ESL Pro League Season 7 - Finals,3rd,$55000, Natus Vincere
ESL Pro League Season 7 - Finals,4th,$55000,FaZe Clan
World Electronic Sports Games 2017,1,$800000, Fnatic
World Electronic Sports Games 2017,2,$300000, Space Soldiers
World Electronic Sports Games 2017,3rd,$150000, Russia
World Electronic Sports Games 2017,4th,$70000, Team One
Intel Extreme Masters Season XII - World Championship,1,$250000, Fnatic
Intel Extreme Masters Season XII - World Championship,2,$100000, FaZe Clan
Intel Extreme Masters Season XII - World Championship,3rd,$40000, Astralis
Intel Extreme Masters Season XII - World Championship,4th,$40000,Team Liquid
Esports Championship Series Season 4 - Finals,1,$250000, FaZe Clan
Esports Championship Series Season 4 - Finals,2,$120000, mousesports
Esports Championship Series Season 4 - Finals,3rd,$65000, Astralis
Esports Championship Series Season 4 - Finals,4th,$65000,Fnatic
ESL Pro League Season 6: Finals,1,$225000, SK Gaming
ESL Pro League Season 6: Finals,2,$100000, FaZe Clan
ESL Pro League Season 6: Finals,3rd,$60000, Fnatic
ESL Pro League Season 6: Finals,4th,$60000,Misfits Gaming
Intel Extreme Masters Season XII - Oakland,1,$129000, Ninjas in Pyjamas
Intel Extreme Masters Season XII - Oakland,2,$54000, FaZe Clan
Intel Extreme Masters Season XII - Oakland,3rd,$28000, SK Gaming
Intel Extreme Masters Season XII - Oakland,4th,$28000,Cloud9
StarLadder & i-League StarSeries Season 4,1,$130000, mousesports
StarLadder & i-League StarSeries Season 4,2,$50000, Natus Vincere
StarLadder & i-League StarSeries Season 4,3rd,$30000, Team Liquid
StarLadder & i-League StarSeries Season 4,4th,$15000, FaZe Clan
ESL Pro League Season 6 - Europe,1,-, Fnatic
ESL Pro League Season 6 - Europe,2,-, North
ESL Pro League Season 6 - Europe,3rd,-, FaZe Clan
ESL Pro League Season 6 - Europe,4th,-, Astralis
ESL Pro League Season 6 - North America,1,-, OpTic Gaming
ESL Pro League Season 6 - North America,2,-, SK Gaming
ESL Pro League Season 6 - North America,3rd,-, Team Liquid
ESL Pro League Season 6 - North America,4th,-, NRG Esports
ELEAGUE Major: Boston 2018,1,$500000,  Cloud9
ELEAGUE Major: Boston 2018,2,$150000,  FaZe Clan
ELEAGUE Major: Boston 2018,3rd,$70000,  Natus Vincere
ELEAGUE Major: Boston 2018,4th,$70000,SK Gaming
EPICENTER 2017,1,$250000, SK Gaming
EPICENTER 2017,2,$100000, Virtus.pro
EPICENTER 2017,3rd,$60000, G2 Esports
EPICENTER 2017,4th,$30000, Astralis
ESG Tour Mykonos 2017,1,$120280.07, mousesports
ESG Tour Mykonos 2017,2,$48112.31, Team Liquid
ESG Tour Mykonos 2017,3rd,$24056.15, SK Gaming
ESG Tour Mykonos 2017,4th,$24056.15, Virtus.pro
ESL One: New York 2017,1,$125000, FaZe Clan
ESL One: New York 2017,2,$50000, Team Liquid
ESL One: New York 2017,3rd,$25000, SK Gaming
ESL One: New York 2017,4th,$25000,Cloud9
ELEAGUE CS:GO Premier 2017,1,$500000, FaZe Clan
ELEAGUE CS:GO Premier 2017,2,$150000, Astralis
ELEAGUE CS:GO Premier 2017,3rd,$70000, Cloud9
ELEAGUE CS:GO Premier 2017,4th,$70000,North
PGL Major Kraków 2017,1,$500000, Gambit Esports
PGL Major Kraków 2017,2,$150000, Immortals
PGL Major Kraków 2017,3rd,$70000, Astralis
PGL Major Kraków 2017,4th,$70000,Virtus.pro
ESL One: Cologne 2017,1,$100000, SK Gaming
ESL One: Cologne 2017,2,$40000, Cloud9
ESL One: Cologne 2017,3rd,$20000, Natus Vincere
ESL One: Cologne 2017,4th,$20000,FaZe Clan
Esports Championship Series Season 3 - Finals,1,$250000, SK Gaming
