tournament, rank, earning, team
Overwatch Pacific Championship 2017 - Season 2,1st,$99320, Ardeont
Overwatch Pacific Championship 2017 - Season 2,2nd,$49660, Flash Wolves
Overwatch Pacific Championship 2017 - Season 2,3rd,$33107, Blank Esports
Overwatch Pacific Championship 2017 - Season 2,4th,$26489, Hong Kong Attitude
Overwatch Pacific Championship 2017 - Season 1,1st,$98400, Flash Wolves
Overwatch Pacific Championship 2017 - Season 1,2nd,$49200, Blank Esports
Overwatch Pacific Championship 2017 - Season 1,3rd,$32800, ahq e-Sports Club
Overwatch Pacific Championship 2017 - Season 1,4th,$26240, Hong Kong Attitude
Overwatch Premier Series 2017 - Summer,1st,$45518, Miraculous Youngster
Overwatch Premier Series 2017 - Summer,2nd,$22759, Vici Gaming
Overwatch Premier Series 2017 - Summer,3rd,$15172, Miracle Team One
Overwatch Premier Series 2017 - Summer,4th,$15172, LGD Gaming
Overwatch League - Inaugural Season Playoffs,1st,$1000000, London Spitfire
Overwatch League - Inaugural Season Playoffs,2nd,$400000, Philadelphia Fusion
Overwatch League - Inaugural Season Playoffs,3rd,$100000, Los Angeles Valiant
Overwatch League - Inaugural Season Playoffs,4th,$100000,New York Excelsior
Overwatch Premier Series 2017 - Grand Finals,1st,$60690, Miraculous Youngster
Overwatch Premier Series 2017 - Grand Finals,2nd,$30345, 1246
Overwatch Premier Series 2017 - Grand Finals,3rd,$15172, Vici Gaming
Overwatch Premier Series 2017 - Grand Finals,4th,$15172,4th
Overwatch World Cup 2018,1st,$16000, South Korea
Overwatch World Cup 2018,2nd,$16000, China
Overwatch World Cup 2018,3rd,$16000, Canada
Overwatch World Cup 2018,4th,$16000, United Kingdom
Overwatch World Cup 2017,1st,$9000, South Korea
Overwatch World Cup 2017,2nd,$9000, Canada
Overwatch World Cup 2017,3rd,$9000, Sweden
Overwatch World Cup 2017,4th,$9000, France
Overwatch League - Inaugural Season,1st,$300000, New York Excelsior
Overwatch League - Inaugural Season,2nd,$200000, Los Angeles Valiant
Overwatch League - Inaugural Season,3rd,$150000, Boston Uprising
Overwatch League - Inaugural Season,4th,$150000, Los Angeles Gladiators
APAC Premier 2017,1st,$105693, GC Busan
APAC Premier 2017,2nd,$45294, RunAway
APAC Premier 2017,3rd,$18117, Miraculous Youngster
APAC Premier 2017,4th,$18117,Afreeca Freecs
OGN Overwatch APEX Season 4,1st,$91937, GC Busan
OGN Overwatch APEX Season 4,2nd,$38514, RunAway
OGN Overwatch APEX Season 4,3rd,$14159, Cloud9 KongDoo
OGN Overwatch APEX Season 4,4th,$10266, Nc Foxes
Overwatch Premier Series 2017 - Spring,1st,$36250, 1246
Overwatch Premier Series 2017 - Spring,2nd,$18207, LGD Gaming
Overwatch Premier Series 2017 - Spring,3rd,$12138, Lucky Future
Overwatch Premier Series 2017 - Spring,4th,$12138, Oh My God
APAC Premier 2016,1st,$75000, Rogue
APAC Premier 2016,2nd,$30000, Lunatic-Hai
