gameId,name,start_date,end_date,city,country,region,total_prize
overwatch,Overwatch World Cup Overwatch World Cup 2018,2018-11-02,2018-11-03,Anaheim,USA ,Americas,128000.00
,Overwatch League - Inaugural Season Playoffs,2018-07-11,2018-07-28,Los Angeles,USA ,Americas,1700000.00
,Overwatch League - Inaugural Season,2018-01-10,2018-06-17,Los Angeles,USA,Americas,1800000.00
,Overwatch World Cup 2017,2017-11-03,2017-11-04,Anaheim,USA ,Americas,72000.00
,APAC Premier 2017,2017-10-19,2017-10-29,Shanghai,China ,Asia,235573.00
,Overwatch APEX Season 4,2017-08-11,2017-10-21,Seoul,South Korea,Asia,177484.00
,Overwatch Pacific Championship 2017 - Season 2,2017-08-18,2017-10-08,Taipei,Taiwan,Asia,274785.00
,Overwatch Premier Series 2017 - Grand Finals,2017-09-28,2017-10-01,Shanghai,China ,Asia,106209.00
,Overwatch Premier Series 2017 - Summer,2017-08-10,2017-09-24,Shanghai,China ,Asia,150209.00
,Overwatch APEX Season 3,2017-04-28,2017-07-29,Seoul,South Korea,Asia,177055.00
,Overwatch Pacific Championship 2017 - Season 1,2017-04-08,2017-07-01,Taipei,Taiwan ,Asia,272240.00
,Overwatch Premier Series 2017 - Spring,2017-04-29,2017-06-24,Shanghai,China ,Asia,105850.00
,Overwatch APEX Season 2,2017-01-17,2017-04-08,Seoul,South Korea,Asia,177055.00
,Overwatch APEX Season 1,2016-10-07,2016-12-03,Seoul,South Korea,Asia,177055.00
,Overwatch World Cup 2016,2016-10-29,2016-11-05,Anaheim,USA,Americas,288000.00
,APAC Premier 2016,2016-10-06,2016-10-16,Shanghai,China,Asia,192000.00
,Overwatch Open,2016-09-25,2016-09-30,Atlanta,USA,Americas,300000.00
,2016 ESL Overwatch Atlantic Showdown - Gamescom,2016-08-20,2016-08-21,Cologne,Germany,Europe,100000.00
,Overwatch Saudi Regional Tournament,2018-09-21,2018-09-22,Riyad,Saudi Arabia,Asia,266667.00
,Overwatch Contenders 2018 Season 2: Europe,2018-07-02,2018-09-21,Paris,France,Europe,185040.00
,Overwatch Contenders 2018 Season 2: Pacific,2018-07-06,2018-09-14,Bangkok,Thailand,Asia,138810.00
,Overwatch Contenders 2018 Season 2: North America,2018-07-03,2018-09-07,Los Angeles,USA,Americas,185040.00
,Overwatch Contenders 2018 Season 2: Australia,2018-07-02,2018-09-01,Melbourne,Australia,Australia,46350.00
,Overwatch Contenders 2018 Season 2: China,2018-07-01,2018-08-26,Guangzhou,China,Asia,185040.00
,Overwatch Contenders 2018 Season 2: Korea,2018-07-04,2018-08-11,Seoul,South Korea,Asia,185040.00
,Overwatch Contenders 2018 Season 1: Australia,2018-03-12,2018-05-19,Sydney,Australia,Australia,46350.00
,Overwatch Contenders 2018 Season 1: China,2018-03-16,2018-05-13,Guangzhou,China,Asia,185040.00
,Overwatch Contenders 2018 Season 1: Europe,2018-03-11,2018-05-13,Alwernia,Poland,Europe,185040.00
,Overwatch Contenders 2018 Season 1: North America,2018-03-11,2018-05-13,Alwernia,Poland,Europe,185040.00
,Overwatch Contenders 2018 Season 1: Korea,2018-03-19,2018-05-12,Seoul,South Korea,Asia,185040.00
